fincode,name
301200,Brookfield India Real Estate Trust (REITs & InvITs)
294683,Embassy Office Parks REIT (REITs & InvITs)
214121,Mindspace Business Parks REIT (REITs & InvITs)
39563,Parag Parikh Liquid Fund- Direct Plan- Growth (Domestic Mutual Funds Units)
294683,Embassy Office Parks REIT (REITs & InvITs)
301200,BROOKFIELD INDIA REAL ESTATE TRUST (REITs & InvITs)
302025,POWERGRID Infrastructure Investment Trust (REITs & InvITs)
309632,Nexus Select Trust REIT (REITs & InvITs)
294683,Embassy Office Parks REIT (REITs & InvITs)
310249,Cube Highways Trust (REITs & InvITs)
304097,National Highways Infra Trust (REITs & InvITs)
294683,Embassy Office Parks Reit (REITs & InvITs)
1039027,ITC Ltd. (Covered call) $$ (Derivatives-Call Options)
1039058,Axis Bank Ltd. (Covered call) $$ (Derivatives-Call Options)
1114136,SBI Life Insurance Company Ltd. (Covered call) $$ (Derivatives-Call Options)
1131964,Interglobe Aviation Ltd. (Covered call) $$ (Derivatives-Call Options)
1039082,Maruti Suzuki India Ltd. (Covered call) $$ (Derivatives-Call Options)
1039014,Larsen & Toubro Ltd. (Covered call) $$ (Derivatives-Call Options)
1039024,Asian Paints Ltd. (Covered call) $$ (Derivatives-Call Options)
1039001,Oil & Natural Gas Corporation Ltd. (Covered call) $$ (Derivatives-Call Options)
1037247,State Bank Of India (Covered call) $$ (Derivatives-Call Options)
294683,EMBASSY OFFICE PARKS REIT (REITs & InvITs)
301200,Brookfield India Real Estate Trust REIT (REITs & InvITs)
214121,MINDSPACE BUSINESS PARKS REIT (REITs & InvITs)
309632,Nexus Select Trust (REITs & InvITs)
322323,TVS Motor Company Ltd. (Preference Shares)
323774,Gold (995 Purity) ^ (Gold)
18020,ICICI Prudential Liquid Fund - Direct Plan -  Growth (Domestic Mutual Funds Units)
302025,POWERGRID Infrastructure Investment Trust (REITs & InvITs)
310249,Cube Highways Trust (REITs & InvITs)
307192,Vertis Infrastructure Trust (REITs & InvITs)
318688,Capital Infra Trust InvIT (REITs & InvITs)
1039041,Sun Pharmaceutical Industries Ltd. (Covered call) $$ (Derivatives-Call Options)
1039088,Tata Consultancy Services Ltd. (Covered call) $$ (Derivatives-Call Options)
1123892,Bajaj Finserv Ltd. (Covered call) $$ (Derivatives-Call Options)
1039021,Hindustan Unilever Ltd. (Covered call) $$ (Derivatives-Call Options)
1027359,Titan Company Ltd. (Covered call) $$ (Derivatives-Call Options)
1039074,Bharti Airtel Ltd. (Covered call) $$ (Derivatives-Call Options)
1039009,Tata Steel Ltd. (Covered call) $$ (Derivatives-Call Options)
1039031,Wipro Ltd. (Covered call) $$ (Derivatives-Call Options)
1031983,Eicher Motors Ltd. (Covered call) $$ (Derivatives-Call Options)
12328,ICICI Prudential Gold ETF (Domestic Mutual Funds Units)
46214,ICICI PRUDENTIAL SILVER ETF (Domestic Mutual Funds Units)
1038985,HDFC Bank Ltd. (Covered call) $$ (Derivatives-Call Options)
1130884,Titan Company Ltd. (Covered call) $$ (Derivatives-Call Options)
1038983,Dr. Reddy's Laboratories Ltd. (Covered call) $$ (Derivatives-Call Options)
1039007,Hindalco Industries Ltd. (Covered call) $$ (Derivatives-Call Options)
1038992,Kotak Mahindra Bank Ltd. (Covered call) $$ (Derivatives-Call Options)
1039057,ICICI Bank Ltd. (Covered call) $$ (Derivatives-Call Options)
1123893,Nestle India Ltd. (Covered call) $$ (Derivatives-Call Options)
1037246,Reliance Industries Ltd. (Covered call) $$ (Derivatives-Call Options)
322323,TVS Motor Company Ltd. (Preference Shares)
1037246,Reliance Industries Ltd. (Covered call) $$ (Derivatives-Call Options)
322323,TVS MOTOR COMPANY LTD. (Preference Shares)
18004,Kotak Money Market Fund Direct Growth (Domestic Mutual Funds Units)
18640,Kotak Savings Fund Direct Growth (Domestic Mutual Funds Units)
18001,Kotak Liquid Direct Growth (Domestic Mutual Funds Units)
18783,Kotak Low Duration Fund Direct Growth (Domestic Mutual Funds Units)
1037718,Nifty 50 Index Put option $$ (Derivatives-Put Options)
1039024,Asian Paints Ltd. (Covered call) $$ (Derivatives-Call Options)
1039041,Sun Pharmaceutical Industries Ltd. (Covered call) $$ (Derivatives-Call Options)
1131418,Trent Ltd. (Covered call) $$ (Derivatives-Call Options)
1039027,ITC Ltd. (Covered call) $$ (Derivatives-Call Options)
1037246,Reliance Industries Ltd. (Covered call) $$ (Derivatives-Call Options)
1039082,Maruti Suzuki India Ltd. (Covered call) $$ (Derivatives-Call Options)
294683,EMBASSY OFFICE PARKS REIT (REITs & InvITs)
214121,MINDSPACE BUSINESS PARKS REIT (REITs & InvITs)
301200,Brookfield India Real Estate Trust REIT (REITs & InvITs)
309632,Nexus Select Trust (REITs & InvITs)
322323,TVS Motor Company Ltd. (Preference Shares)
18020,ICICI Prudential Liquid Fund - Direct Plan -  Growth (Domestic Mutual Funds Units)
302025,POWERGRID Infrastructure Investment Trust (REITs & InvITs)
299683,Altius Telecom Infrastructure Trust (REITs & InvITs)
314083,Indus Infra Trust (REITs & InvITs)
1038983,Dr. Reddy's Laboratories Ltd. (Covered call) $$ (Derivatives-Call Options)
1114136,SBI Life Insurance Company Ltd. (Covered call) $$ (Derivatives-Call Options)
1027359,Titan Company Ltd. (Covered call) $$ (Derivatives-Call Options)
1039058,Axis Bank Ltd. (Covered call) $$ (Derivatives-Call Options)
1039088,Tata Consultancy Services Ltd. (Covered call) $$ (Derivatives-Call Options)
1038992,Kotak Mahindra Bank Ltd. (Covered call) $$ (Derivatives-Call Options)
1130805,Eternal Ltd. (Covered call) $$ (Derivatives-Call Options)
322323,TVS Motor Company Ltd. (Preference Shares)
1039009,Tata Steel Ltd. (Covered call) $$ (Derivatives-Call Options)
18001,Kotak Liquid Direct Growth (Domestic Mutual Funds Units)
323774,GOLD 995 1KG BAR (Gold)
217849,GOLD 995 1KG BAR (Gold)
18001,Kotak Liquid Direct Growth (Domestic Mutual Funds Units)
1039001,Oil & Natural Gas Corporation Ltd. (Covered call) $$ (Derivatives-Call Options)
1039089,NTPC Ltd. (Covered call) $$ (Derivatives-Call Options)
1038981,Titan Company Ltd. (Covered call) $$ (Derivatives-Call Options)
294683,EMBASSY OFFICE PARKS REIT (REITs & InvITs)
214121,MINDSPACE BUSINESS PARKS REIT (REITs & InvITs)
301200,Brookfield India Real Estate Trust REIT (REITs & InvITs)
309632,Nexus Select Trust (REITs & InvITs)
322323,TVS Motor Company Ltd. (Preference Shares)
18020,ICICI Prudential Liquid Fund - Direct Plan -  Growth (Domestic Mutual Funds Units)
299683,Altius Telecom Infrastructure Trust (REITs & InvITs)
314083,Indus Infra Trust (REITs & InvITs)
1039082,Maruti Suzuki India Ltd. (Covered call) $$ (Derivatives-Call Options)
1039027,ITC Ltd. (Covered call) $$ (Derivatives-Call Options)
18488,ICICI Prudential Savings Fund - Direct - Growth (Domestic Mutual Funds Units)
294683,Embassy Office Parks Reit (REITs & InvITs)
322323,TVS Motor Company Ltd. (Preference Shares)
18991,SBI Savings Fund - Direct Plan - Growth Option (Domestic Mutual Funds Units)
17929,SBI Liquid Fund - Direct Plan - Growth Option (Domestic Mutual Funds Units)
19035,SBI Magnum Low Duration Fund - Direct Plan - Growth Option (Domestic Mutual Funds Units)
17931,SBI Magnum Ultra Short Duration Fund - Direct Plan - Cash Option (Domestic Mutual Funds Units)
19529,Mirae Asset Liquid Fund-Direct Plan-Growth (Domestic Mutual Funds Units)
45755,Mirae Asset Money Market Fund-Direct Plan-Growth (Domestic Mutual Funds Units)
19529,Mirae Asset Liquid Fund-Direct Plan-Growth (Domestic Mutual Funds Units)
301200,Brookfield India Real Estate Trust (REITs & InvITs)
294683,Embassy Office Parks Reit (REITs & InvITs)
304097,National Highways Infra Trust (REITs & InvITs)
1121072,Interest Rate Swaps Pay Floating Receive Fix -ICISECPD (03/02/2026) (FV 25000 Lacs) (Derivatives-Options (Others))
1120101,Interest Rate Swaps Pay Floating Receive Fix -IDFC BANK (03/02/2026) (FV 25000 Lacs) (Derivatives-Options (Others))
1039001,Oil & Natural Gas Corporation Ltd. (Covered call) $$ (Derivatives-Call Options)
1037246,Reliance Industries Ltd. (Covered call) $$ (Derivatives-Call Options)
217829,NIFTY February 2026 Future (Derivatives-Futures)
210072,Dixon Technologies (India) Limited February 2026 Future (Derivatives-Futures)
207901,BSE Limited January 2026 Future (Derivatives-Futures)
208883,One 97 Communications Limited December 2025 Future (Derivatives-Futures)
223187,Kaynes Technology India Limited December 2025 Future (Derivatives-Futures)
322323,TVS Motor Company Ltd. (Preference Shares)
18018,ICICI Prudential Money Market fund - Direct Plan -  Growth Option (Domestic Mutual Funds Units)
322323,6% TVS Motor Co Non Convertible Redeemable Preference shares ** (Preference Shares)
217829,NIFTY February 2026 Future (Derivatives-Futures)
322323,6% TVS Motor Co Non Convertible Redeemable Preference shares ** (Preference Shares)
33980,Axis NIFTY 50 ETF (Domestic Mutual Funds Units)
107685,Wipro Limited January 2026 Future (Derivatives-Futures)
322323,6% TVS Motor Co Non Convertible Redeemable Preference shares ** (Preference Shares)
322323,TVS Motor Company Limited (Preference Share) (Preference Shares)
45697,ADITYA BIRLA SUN LIFE NIFTY IT ETF (Domestic Mutual Funds Units)
38262,ADITYA BIRLA SUN LIFE NIFTY NEXT 50 ETF (Domestic Mutual Funds Units)
18001,Kotak Liquid Direct Growth (Domestic Mutual Funds Units)
19286,ICICI Prudential All Seasons Bond Fund - Direct Plan - Growth (Domestic Mutual Funds Units)
18482,ICICI Prudential Value Discovery Fund - Direct Plan -  Growth (Domestic Mutual Funds Units)
18497,ICICI Prudential Gilt Fund - Direct Plan - Growth (Domestic Mutual Funds Units)
18488,ICICI Prudential Savings Fund - Direct - Growth (Domestic Mutual Funds Units)
19844,ICICI Prudential  Banking and Financial Services Fund - Direct - Growth (Domestic Mutual Funds Units)
18512,ICICI Prudential Technology Fund - Direct - Growth (Domestic Mutual Funds Units)
18509,ICICI Prudential Short Term Fund - Direct Plan -  Growth Option (Domestic Mutual Funds Units)
47920,ICICI Prudential Innovation Fund - Direct Plan - Growth (Domestic Mutual Funds Units)
18502,ICICI Prudential Infrastructure Fund - Direct Plan -  Growth (Domestic Mutual Funds Units)
19277,ICICI Prudential Corporate Bond Fund- Direct Plan -  Growth (Domestic Mutual Funds Units)
18514,ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth (Domestic Mutual Funds Units)
