fincode,name
294683,Embassy Office Parks REIT (REITs & InvITs)
301200,Brookfield India Real Estate Trust (REITs & InvITs)
214121,Mindspace Business Parks REIT (REITs & InvITs)
39563,Parag Parikh Liquid Fund- Direct Plan- Growth (Domestic Mutual Funds Units)
302025,POWERGRID Infrastructure Investment Trust (REITs & InvITs)
294683,Embassy Office Parks REIT (REITs & InvITs)
301200,BROOKFIELD INDIA REAL ESTATE TRUST (REITs & InvITs)
309632,Nexus Select Trust REIT (REITs & InvITs)
294683,Embassy Office Parks REIT (REITs & InvITs)
310249,Cube Highways Trust (REITs & InvITs)
304097,National Highways Infra Trust (REITs & InvITs)
294683,Embassy Office Parks Reit (REITs & InvITs)
1037246,Reliance Industries Ltd. (Covered call) $$ (Derivatives-Call Options)
322323,6% TVS Motor Company Ltd. (Preference Shares)
322323,6% TVS Motor Company Ltd. (Preference Shares)
12328,ICICI Prudential Gold ETF (Domestic Mutual Funds Units)
46214,ICICI PRUDENTIAL SILVER ETF (Domestic Mutual Funds Units)
18020,ICICI Prudential Liquid Fund - Direct Plan -  Growth (Domestic Mutual Funds Units)
310249,Cube Highways Trust (REITs & InvITs)
307192,Vertis Infrastructure Trust (REITs & InvITs)
302025,POWERGRID Infrastructure Investment Trust (REITs & InvITs)
294683,EMBASSY OFFICE PARKS REIT (REITs & InvITs)
301200,Brookfield India Real Estate Trust REIT (REITs & InvITs)
309632,Nexus Select Trust (REITs & InvITs)
214121,MINDSPACE BUSINESS PARKS REIT (REITs & InvITs)
1039027,ITC Ltd. (Covered call) $$ (Derivatives-Call Options)
1038985,HDFC Bank Ltd. (Covered call) $$ (Derivatives-Call Options)
1130884,Titan Company Ltd. (Covered call) $$ (Derivatives-Call Options)
1038983,Dr. Reddy's Laboratories Ltd. (Covered call) $$ (Derivatives-Call Options)
1039024,Asian Paints Ltd. (Covered call) $$ (Derivatives-Call Options)
1114136,SBI Life Insurance Company Ltd. (Covered call) $$ (Derivatives-Call Options)
1039007,Hindalco Industries Ltd. (Covered call) $$ (Derivatives-Call Options)
1038992,Kotak Mahindra Bank Ltd. (Covered call) $$ (Derivatives-Call Options)
1039057,ICICI Bank Ltd. (Covered call) $$ (Derivatives-Call Options)
1039074,Bharti Airtel Ltd. (Covered call) $$ (Derivatives-Call Options)
1037247,State Bank Of India (Covered call) $$ (Derivatives-Call Options)
1123893,Nestle India Ltd. (Covered call) $$ (Derivatives-Call Options)
1039009,Tata Steel Ltd. (Covered call) $$ (Derivatives-Call Options)
1031983,Eicher Motors Ltd. (Covered call) $$ (Derivatives-Call Options)
1039014,Larsen & Toubro Ltd. (Covered call) $$ (Derivatives-Call Options)
1037246,Reliance Industries Ltd. (Covered call) $$ (Derivatives-Call Options)
294798,Energy Infrastructure Trust (REITs & InvITs)
322323,TVS MOTOR COMPANY LTD. (Preference Shares)
18004,Kotak Money Market Fund Direct Growth (Domestic Mutual Funds Units)
18640,Kotak Savings Fund Direct Growth (Domestic Mutual Funds Units)
18001,Kotak Liquid Direct Growth (Domestic Mutual Funds Units)
18783,Kotak Low Duration Fund Direct Growth (Domestic Mutual Funds Units)
1037718,Nifty 50 Index Put option $$ (Derivatives-Put Options)
1039041,Sun Pharmaceutical Industries Ltd. (Covered call) $$ (Derivatives-Call Options)
322323,6% TVS Motor Company Ltd. (Preference Shares)
18020,ICICI Prudential Liquid Fund - Direct Plan -  Growth (Domestic Mutual Funds Units)
299683,Altius Telecom Infrastructure Trust (REITs & InvITs)
314083,Indus Infra Trust (REITs & InvITs)
294683,EMBASSY OFFICE PARKS REIT (REITs & InvITs)
214121,MINDSPACE BUSINESS PARKS REIT (REITs & InvITs)
301200,Brookfield India Real Estate Trust REIT (REITs & InvITs)
309632,Nexus Select Trust (REITs & InvITs)
1130805,Eternal Ltd. (Covered call) $$ (Derivatives-Call Options)
1038983,Dr. Reddy's Laboratories Ltd. (Covered call) $$ (Derivatives-Call Options)
18001,Kotak Liquid Direct Growth (Domestic Mutual Funds Units)
322323,6% TVS Motor Company Ltd. (Preference Shares)
1039009,Tata Steel Ltd. (Covered call) $$ (Derivatives-Call Options)
1037246,Reliance Industries Ltd. (Covered call) $$ (Derivatives-Call Options)
18001,Kotak Liquid Direct Growth (Domestic Mutual Funds Units)
1130475,NIFTY28-Oct-2025CE24750 (Derivatives-Call Options)
294683,Embassy Office Parks Reit (REITs & InvITs)
322323,6% TVS Motor Company Ltd. (Preference Shares)
299683,Altius Telecom Infrastructure Trust (REITs & InvITs)
314083,Indus Infra Trust (REITs & InvITs)
294683,EMBASSY OFFICE PARKS REIT (REITs & InvITs)
214121,MINDSPACE BUSINESS PARKS REIT (REITs & InvITs)
301200,Brookfield India Real Estate Trust REIT (REITs & InvITs)
309632,Nexus Select Trust (REITs & InvITs)
1039089,NTPC Ltd. (Covered call) $$ (Derivatives-Call Options)
1039082,Maruti Suzuki India Ltd. (Covered call) $$ (Derivatives-Call Options)
1039027,ITC Ltd. (Covered call) $$ (Derivatives-Call Options)
18488,ICICI Prudential Savings Fund - Direct - Growth (Domestic Mutual Funds Units)
1037246,Reliance Industries Ltd. (Covered call) $$ (Derivatives-Call Options)
294798,Energy Infrastructure Trust (REITs & InvITs)
19529,Mirae Asset Liquid Fund-Direct Plan-Growth (Domestic Mutual Funds Units)
19529,Mirae Asset Liquid Fund-Direct Plan-Growth (Domestic Mutual Funds Units)
322323,TVS Motor Company Ltd. (Preference Shares)
18991,SBI Savings Fund - Direct Plan - Growth Option (Domestic Mutual Funds Units)
17929,SBI Liquid Fund - Direct Plan - Growth Option (Domestic Mutual Funds Units)
19035,SBI Magnum Low Duration Fund - Direct Plan - Growth Option (Domestic Mutual Funds Units)
17931,SBI Magnum Ultra Short Duration Fund - Direct Plan - Cash Option (Domestic Mutual Funds Units)
304097,National Highways Infra Trust (REITs & InvITs)
301200,Brookfield India Real Estate Trust (REITs & InvITs)
294683,Embassy Office Parks Reit (REITs & InvITs)
1129947,Asian Paints Ltd. 30-SEP-25 (Covered Call) (Derivatives-Call Options)
1129948,Maruti Suzuki India Ltd. 30-SEP-25 (Covered Call) (Derivatives-Call Options)
208883,One 97 Communications Limited December 2025 Future (Derivatives-Futures)
223187,Kaynes Technology India Limited December 2025 Future (Derivatives-Futures)
1121072,Interest Rate Swaps Pay Floating Receive Fix -ICISECPD (03/02/2026) (FV 25000 Lacs) (Derivatives-Options (Others))
1120101,Interest Rate Swaps Pay Floating Receive Fix -IDFC BANK (03/02/2026) (FV 25000 Lacs) (Derivatives-Options (Others))
322323,6% TVS Motor Co Non Convertible Redeemable Preference shares ** (Preference Shares)
323774,GOLD 995 1KG BAR (Gold)
217849,GOLD 995 1KG BAR (Gold)
322323,6% TVS Motor Co Non Convertible Redeemable Preference shares ** (Preference Shares)
33980,Axis NIFTY 50 ETF (Domestic Mutual Funds Units)
1037246,Reliance Industries Ltd. (Covered call) $$ (Derivatives-Call Options)
322323,6% TVS Motor Company Ltd. (Preference Shares)
18018,ICICI Prudential Money Market fund - Direct Plan -  Growth Option (Domestic Mutual Funds Units)
322323,6% TVS Motor Co Non Convertible Redeemable Preference shares ** (Preference Shares)
322323,TVS Motor Company Limited (Preference Share) (Preference Shares)
45697,ADITYA BIRLA SUN LIFE NIFTY IT ETF (Domestic Mutual Funds Units)
38262,ADITYA BIRLA SUN LIFE NIFTY NEXT 50 ETF (Domestic Mutual Funds Units)
303477,MIDCAPNIFTY 28/10/2025 (Derivatives-Futures)
117334,Samvardhana Motherson International Ltd 30/12/2025 (Derivatives-Futures)
